Thursday,17,September,2026,18:14:23:00009-VCID:77F7B61E06CD4D23F8-8022,VCDS Version: Release 25.3.1,Data version: 20250604 DS365.0
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Group A:,'011,,,,Group B:,'003,,,,Group C:, Not Running
,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Exhaust Gas,Exhaust Gas,Exhaust Gas,,,,,
,10.60,3360,2193.0,2121.6,26.4,10.78,3360,850.0,835.0,100.6,,,,,
,10.96,3402,2193.0,2142.0,25.6,11.13,3402,850.0,840.0,100.6,,,,,
,11.31,3423,2193.0,2142.0,26.4,11.47,3423,850.0,845.0,100.6,,,,,
,11.65,3465,2193.0,2131.8,26.8,11.84,3486,850.0,830.0,100.6,,,,,
,12.01,3507,2193.0,2131.8,27.2,12.19,3507,850.0,845.0,100.6,,,,,
,12.37,3528,2193.0,2152.2,26.4,12.55,3549,850.0,840.0,100.6,,,,,
,12.72,3570,2193.0,2162.4,27.2,12.89,3591,850.0,830.0,100.6,,,,,
,13.07,3591,2193.0,2152.2,27.6,13.22,3633,850.0,825.0,100.6,,,,,
,13.38,3633,2193.0,2152.2,28.0,13.54,3654,850.0,830.0,100.6,,,,,
,13.73,3654,2193.0,2152.2,28.0,13.90,3675,850.0,825.0,100.6,,,,,
,14.10,3696,2193.0,2162.4,28.4,14.26,3717,850.0,830.0,100.6,,,,,
,14.44,3717,2193.0,2162.4,28.8,14.63,3738,850.0,830.0,100.6,,,,,
,14.79,3759,2193.0,2162.4,29.2,14.94,3759,850.0,825.0,100.6,,,,,
,15.09,3780,2193.0,2162.4,29.2,15.26,3801,850.0,825.0,100.6,,,,,
,15.45,3801,2193.0,2162.4,29.6,15.62,3822,850.0,825.0,100.6,,,,,
,15.83,3843,2193.0,2172.6,29.2,16.00,3843,850.0,825.0,100.6,,,,,
,16.16,3843,2193.0,2162.4,30.0,16.32,3906,850.0,815.0,100.6,,,,,
,16.49,3885,2193.0,2162.4,30.4,16.64,3906,850.0,815.0,100.6,,,,,
,16.80,3906,2193.0,2162.4,30.8,17.00,3927,850.0,820.0,100.6,,,,,
,17.17,3927,2193.0,2162.4,31.2,17.35,3969,850.0,815.0,100.6,,,,,
,17.54,3948,2193.0,2162.4,31.6,17.70,3969,850.0,810.0,100.6,,,,,
,17.86,3990,2193.0,2162.4,32.0,18.06,3990,850.0,805.0,100.6,,,,,
,18.22,4032,2193.0,2162.4,32.4,18.36,4032,850.0,815.0,100.6,,,,,
,18.53,4032,2182.8,2162.4,31.2,18.70,4032,850.0,810.0,100.6,,,,,
,18.86,4053,2172.6,2162.4,32.4,19.02,4053,850.0,805.0,100.6,,,,,
,19.22,4074,2172.6,2152.2,31.6,19.38,4116,850.0,805.0,100.6,,,,,
,19.55,4095,2152.2,2152.2,30.0,19.75,4116,850.0,810.0,100.6,,,,,
