Thursday,17,September,2026,18:15:20:00009-VCID:77F7B61E06CD4D23F8-8022,VCDS Version: Release 25.3.1,Data version: 20250604 DS365.0
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Group A:,'011,,,,Group B:,'008,,,,Group C:, Not Running
,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Torque Request,Torque Limitation,Smoke Limitation,,,,,
,36.38,3045,1183.2,1417.8,50.9,36.21,3045,0.0,346.5,246.4,,,,,
,36.75,3003,1183.2,1377.0,51.7,36.57,3024,0.0,346.5,244.0,,,,,
,37.09,2982,1183.2,1356.6,52.5,36.92,2982,0.0,348.9,241.6,,,,,
,37.44,2940,1173.0,1356.6,53.7,37.27,2961,0.0,348.9,241.6,,,,,
,37.80,2940,1173.0,1366.8,55.2,37.63,2940,0.0,348.9,241.6,,,,,
,38.16,2898,1173.0,1387.2,56.4,37.97,2919,0.0,351.4,241.6,,,,,
,38.50,2814,1173.0,1407.6,59.6,38.34,2856,0.0,353.8,244.0,,,,,
,38.85,2730,1173.0,1448.4,65.1,38.68,2772,0.0,356.2,248.9,,,,,
,39.20,2604,1162.8,1489.2,70.6,39.02,2667,0.0,358.7,251.3,,,,,
,39.56,2541,1162.8,1550.4,74.2,39.38,2562,0.0,361.1,258.6,,,,,
,39.92,2478,1152.6,1601.4,76.1,39.74,2499,0.0,363.6,270.8,,,,,
,40.24,2415,1152.6,1611.6,77.3,40.07,2457,0.0,366.0,278.2,,,,,
,40.57,2394,1152.6,1611.6,77.7,40.41,2415,0.0,366.0,278.2,,,,,
,40.94,2373,1152.6,1611.6,71.4,40.76,2394,0.0,368.4,278.2,,,,,
,85.98,2667,1162.8,1774.8,67.5,85.79,2667,0.0,358.7,305.0,,,,,
,86.35,2541,1162.8,1754.4,74.2,86.16,2583,0.0,361.1,302.6,,,,,
,86.68,2436,1152.6,1723.8,76.9,86.52,2520,0.0,363.6,302.6,,,,,
,87.08,2478,2152.2,1672.8,77.7,86.88,2436,0.0,366.0,297.7,,,,,
,87.40,2499,2193.0,2009.4,31.2,87.23,2436,351.4,366.0,300.1,,,,,
,87.74,2541,2193.0,2284.8,37.9,87.55,2499,351.4,363.6,309.9,,,,,
,88.11,2604,2193.0,2397.0,29.2,87.92,2562,348.9,361.1,312.3,,,,,
,88.45,2646,2193.0,2397.0,28.8,88.28,2604,348.9,361.1,319.6,,,,,
,88.80,2688,2193.0,2386.8,27.6,88.64,2688,346.5,358.7,327.0,,,,,
,89.12,2751,2193.0,2376.6,26.4,88.96,2730,344.0,356.2,331.8,,,,,
,89.46,2814,2193.0,2356.2,25.3,89.29,2772,344.0,356.2,334.3,,,,,
,89.82,2856,2193.0,2335.8,24.5,89.65,2835,341.6,353.8,334.3,,,,,
,90.16,2919,2193.0,2325.6,23.7,90.00,2898,341.6,351.4,334.3,,,,,
,90.48,2961,2193.0,2315.4,22.9,90.31,2919,339.2,348.9,334.3,,,,,
,90.85,3003,2193.0,2295.0,22.1,90.69,2940,339.2,348.9,334.3,,,,,
,91.17,3045,2193.0,2284.8,21.7,91.01,3024,336.7,346.5,334.3,,,,,
,91.51,3108,2193.0,2284.8,20.9,91.34,3066,336.7,346.5,334.3,,,,,
,91.86,3150,2193.0,2233.8,22.5,91.69,3150,334.3,344.0,334.3,,,,,
,92.24,3192,2193.0,2172.6,24.1,92.03,3171,334.3,344.0,334.3,,,,,
,92.59,3213,2193.0,2121.6,25.6,92.42,3213,334.3,341.6,334.3,,,,,
,92.92,3255,2193.0,2111.4,25.3,92.76,3255,331.8,341.6,334.3,,,,,
,93.27,3318,2193.0,2121.6,25.6,93.09,3276,331.8,339.2,334.3,,,,,
,93.62,3339,2193.0,2131.8,25.6,93.44,3318,331.8,339.2,334.3,,,,,
,93.98,3381,2193.0,2142.0,26.0,93.81,3360,329.4,339.2,334.3,,,,,
,94.33,3423,2193.0,2142.0,26.0,94.14,3381,329.4,336.7,334.3,,,,,
,94.68,3444,2193.0,2152.2,26.0,94.50,3423,329.4,336.7,334.3,,,,,
,95.03,3486,2193.0,2152.2,26.0,94.86,3465,327.0,336.7,334.3,,,,,
,95.39,3507,2193.0,2162.4,26.0,95.21,3486,327.0,336.7,334.3,,,,,
,95.73,3549,2193.0,2162.4,26.0,95.57,3528,327.0,334.3,334.3,,,,,
,96.08,3570,2193.0,2162.4,26.4,95.90,3570,324.5,334.3,334.3,,,,,
,96.43,3612,2193.0,2162.4,26.8,96.25,3591,324.5,334.3,334.3,,,,,
,96.79,3654,2193.0,2172.6,26.4,96.61,3633,324.5,331.8,334.3,,,,,
,97.16,3696,2193.0,2172.6,26.8,96.98,3654,322.1,331.8,334.3,,,,,
,97.50,3717,2193.0,2162.4,27.6,97.32,3717,322.1,331.8,334.3,,,,,
,97.83,3738,2193.0,2162.4,27.6,97.67,3717,322.1,329.4,334.3,,,,,
,98.19,3759,2193.0,2162.4,28.0,98.02,3738,322.1,329.4,334.3,,,,,
,98.55,3780,2193.0,2162.4,28.4,98.37,3780,319.6,329.4,334.3,,,,,
,98.90,3822,2193.0,2162.4,28.8,98.73,3822,319.6,327.0,334.3,,,,,
,99.25,3864,2193.0,2162.4,29.2,99.07,3843,319.6,327.0,334.3,,,,,
,99.60,3864,2193.0,2162.4,29.6,99.41,3843,317.2,324.5,334.3,,,,,
,99.94,3906,2193.0,2152.2,30.0,99.76,3885,317.2,324.5,334.3,,,,,
,100.31,3927,2193.0,2162.4,30.4,100.12,3906,317.2,322.1,334.3,,,,,
,100.66,3969,2193.0,2162.4,30.8,100.47,3927,317.2,322.1,334.3,,,,,
,101.00,3969,2193.0,2162.4,30.8,100.82,3948,314.8,319.6,334.3,,,,,
,101.35,3990,2193.0,2162.4,31.2,101.17,3969,314.8,319.6,334.3,,,,,
,101.71,4011,2193.0,2162.4,30.4,101.51,3990,314.8,317.2,334.3,,,,,
,102.06,4032,2182.8,2172.6,29.6,101.88,4011,314.8,317.2,334.3,,,,,
,102.40,4074,2172.6,2162.4,29.6,102.23,4053,314.8,314.8,334.3,,,,,
,102.75,4074,2162.4,2162.4,29.2,102.58,4053,314.8,312.3,334.3,,,,,
,103.10,4095,2152.2,2142.0,29.6,102.93,4095,314.8,307.4,334.3,,,,,
,103.47,4116,2142.0,2131.8,28.4,103.29,4095,312.3,307.4,334.3,,,,,
,103.82,4137,2142.0,2131.8,30.0,103.63,4116,312.3,305.0,334.3,,,,,
,104.16,4074,1193.4,1999.2,44.2,103.99,4095,9.8,307.4,334.3,,,,,
